PAST_3_SHOOTING_HOME,PAST_10_SHOOTING_HOME,PAST_3_FT_HOME,PAST_10_FT_HOME,PAST_3_REB_HOME,PAST_10_REB_HOME,PAST_3_TOV_PCT_HOME,PAST_10_TOV_PCT_HOME,PAST_3_PTS_HOME,PAST_10_PTS_HOME,PAST_3_SHOOTING_AWAY,PAST_10_SHOOTING_AWAY,PAST_3_FT_AWAY,PAST_10_FT_AWAY,PAST_3_REB_AWAY,PAST_10_REB_AWAY,PAST_3_TOV_PCT_AWAY,PAST_10_TOV_PCT_AWAY,PAST_3_PTS_AWAY,PAST_10_PTS_AWAY,WL_HOME
0.495,0.473142857,0.163333333,0.216,49.33333333,46.2,0.090472984,0.106947415,115.3333333,101.7,0.508403361,0.514211886,0.306722689,0.263565891,44.66666667,41.7,0.118038158,0.118782932,105,100,W
0.429435484,0.481220657,0.27016129,0.232394366,47.66666667,43.6,0.077508455,0.086145522,93.33333333,101.8,0.536144578,0.522929936,0.180722892,0.224203822,45.33333333,41.9,0.115930828,0.118118637,104,99.7,W
0.465909091,0.472863741,0.21969697,0.211316397,51.66666667,43.5,0.123653065,0.10853527,101.3333333,100.2,0.493852459,0.483476132,0.192622951,0.231334149,38,42.4,0.108887276,0.108350402,96,97.9,W
0.553571429,0.515404365,0.290178571,0.241335045,35.66666667,40.2,0.120565856,0.124033158,104.3333333,99.1,0.518072289,0.505938242,0.18875502,0.206650831,43.66666667,42.7,0.090748553,0.108843932,101.6666667,102.6,L
0.437229437,0.500653595,0.29004329,0.28627451,43.33333333,42.6,0.110077054,0.106386212,89.66666667,98.5,0.570454545,0.478552279,0.268181818,0.288203753,38.33333333,41.4,0.149814774,0.14362908,103.3333333,92.9,L
0.495850622,0.501898734,0.165975104,0.210126582,44,42,0.118459522,0.121943784,93,95.9,0.429435484,0.481220657,0.27016129,0.232394366,47.66666667,43.6,0.077508455,0.086145522,93.33333333,101.8,L
0.520642202,0.525,0.21559633,0.291891892,39.33333333,40.2,0.134719015,0.114014252,91.33333333,99.3,0.522727273,0.519065191,0.28030303,0.253382534,46.33333333,43.6,0.111746826,0.122133162,116.6666667,105,W
0.522727273,0.519065191,0.28030303,0.253382534,46.33333333,43.6,0.111746826,0.122133162,116.6666667,105,0.480952381,0.479565773,0.276190476,0.255427842,38.66666667,42.6,0.141368223,0.117200496,86.66666667,95.1,W
0.552173913,0.484522207,0.308695652,0.286675639,40,40.3,0.103252452,0.136809662,108.3333333,93.3,0.553571429,0.515404365,0.290178571,0.241335045,35.66666667,40.2,0.120565856,0.124033158,104.3333333,99.1,W
0.529761905,0.45859473,0.246031746,0.264742785,41.33333333,43.5,0.116357995,0.133084321,109.6666667,94.2,0.531128405,0.4875,0.280155642,0.216666667,45,43.7,0.107581029,0.10437662,115,100.1,W
0.441176471,0.493765586,0.231372549,0.225685786,41,40.6,0.066118131,0.111053244,94.66666667,97.3,0.504166667,0.519685039,0.170833333,0.275590551,39.33333333,40.2,0.10951189,0.10679763,94.33333333,100.2,W
0.525531915,0.517899761,0.255319149,0.212410501,40.33333333,41.7,0.118251928,0.107132375,102.3333333,104.6,0.550420168,0.517512077,0.205882353,0.214975845,43.33333333,42,0.126492613,0.114986585,103.6666667,103.5,W
0.549603175,0.467964824,0.261904762,0.26758794,40.33333333,43.2,0.103113032,0.129831809,114.3333333,95.8,0.430379747,0.496706192,0.257383966,0.303030303,44.33333333,41.7,0.093679124,0.101921957,88.33333333,98.4,L
0.502074689,0.497487437,0.186721992,0.199748744,41,42.2,0.107703354,0.124775556,95.66666667,95.1,0.502183406,0.503856041,0.323144105,0.257069409,40.33333333,40.9,0.109503922,0.119266055,101.3333333,98.4,L
0.515873016,0.510362694,0.158730159,0.275906736,39,40.3,0.099297281,0.108870221,100,100.1,0.494230769,0.511599512,0.226923077,0.218559219,42.33333333,41.3,0.076834422,0.095071266,105.3333333,101.7,W
0.477375566,0.45984456,0.28959276,0.28626943,35.33333333,36.4,0.133982282,0.121916463,91.66666667,93.1,0.504166667,0.500605327,0.166666667,0.216707022,35,40.6,0.110132159,0.099654926,94,100.6,L
0.477876106,0.516503667,0.194690265,0.207823961,43.66666667,43.5,0.121196493,0.106935308,86.66666667,101.5,0.513043478,0.491192412,0.295652174,0.287262873,43.33333333,40.1,0.098246675,0.134732437,101.3333333,93.7,L
0.533185841,0.509603073,0.274336283,0.2368758,40.66666667,41.7,0.125549278,0.125466675,101,98.1,0.561611374,0.536834925,0.3507109,0.331514325,44,41.6,0.136795375,0.115021139,103.6666667,103,L
0.479757085,0.487437186,0.153846154,0.217336683,40,39.2,0.14636401,0.131909743,91.66666667,94.9,0.534042553,0.49749059,0.221276596,0.26097867,41,42.2,0.117647059,0.113805415,101,100.1,W
0.445652174,0.437900128,0.313043478,0.28809219,45,45.7,0.132314025,0.137933037,92.33333333,90.9,0.461864407,0.501277139,0.288135593,0.24265645,44.33333333,41.6,0.074139976,0.113674767,95.33333333,97.5,W
0.484435798,0.492840095,0.307392996,0.227923628,49.66666667,44,0.108148671,0.110252005,109.3333333,101.7,0.502183406,0.503856041,0.323144105,0.257069409,40.33333333,40.9,0.109503922,0.119266055,101.3333333,98.4,W
0.442553191,0.504987531,0.191489362,0.216957606,39.33333333,43.6,0.091719078,0.102742786,84.33333333,98.4,0.525531915,0.517899761,0.255319149,0.212410501,40.33333333,41.7,0.118251928,0.107132375,102.3333333,104.6,W
0.480603448,0.477415307,0.310344828,0.253450439,40.33333333,43.1,0.130782644,0.122312824,98.33333333,96.3,0.529288703,0.510191083,0.225941423,0.236942675,38.66666667,40.8,0.109582059,0.121411118,102.3333333,98.7,L
0.465020576,0.494102228,0.263374486,0.31061599,45,42.1,0.087217754,0.10493339,96.66666667,99.1,0.458333333,0.470807453,0.258333333,0.238509317,43,43.9,0.079776625,0.107340313,94,95,L
0.536324786,0.510309278,0.196581197,0.229381443,42,41,0.144434128,0.129541669,99,97,0.514112903,0.493116395,0.310483871,0.2640801,44.66666667,42.7,0.110786347,0.115323201,110.6666667,99.9,L
0.477911647,0.496143959,0.212851406,0.269922879,45.33333333,40.9,0.093399751,0.106925732,97,98.2,0.465020576,0.494102228,0.263374486,0.31061599,45,42.1,0.087217754,0.10493339,96.66666667,99.1,L
0.477272727,0.453024453,0.313636364,0.271557272,36,37.6,0.144698045,0.12302147,93,91.5,0.507211538,0.505427408,0.360576923,0.314789688,39.66666667,39.2,0.109902187,0.112286178,95.33333333,97.7,W
0.535714286,0.51070529,0.206349206,0.231738035,41.33333333,40.8,0.112711947,0.119944127,107.3333333,99.5,0.50877193,0.501948052,0.219298246,0.236363636,41,40.7,0.112494768,0.120024779,94,95.5,W
0.502202643,0.510176391,0.264317181,0.287652646,38.33333333,38.8,0.082958681,0.129671392,96,96.4,0.49789916,0.521118012,0.180672269,0.213664596,36.33333333,42.7,0.098509052,0.104699512,93.33333333,101.1,W
0.447004608,0.446475196,0.30875576,0.289817232,41.66666667,43.5,0.117248567,0.138191706,87,90.6,0.497695853,0.510328068,0.391705069,0.238153098,39.33333333,42.7,0.117776382,0.106868888,100.3333333,103.6,W
0.483539095,0.501896334,0.263374486,0.225031606,41.33333333,43.8,0.101716781,0.11272771,99.66666667,97.2,0.484435798,0.492840095,0.307392996,0.227923628,49.66666667,44,0.108148671,0.110252005,109.3333333,101.7,L
0.458498024,0.481527094,0.245059289,0.216748768,40.66666667,41,0.086062752,0.111725899,98,95.8,0.521317829,0.467661692,0.220930233,0.251243781,41.33333333,42.3,0.111315458,0.130478619,108.6666667,95.4,L
0.463829787,0.489240506,0.293617021,0.243037975,39.33333333,41.3,0.114364135,0.122128835,95.66666667,96.5,0.539840637,0.47384807,0.175298805,0.241594022,39,41.8,0.111936501,0.127051508,105,95.5,L
0.44214876,0.485842986,0.280991736,0.267696268,43.66666667,40.7,0.111132586,0.11425329,94,96.3,0.461373391,0.466833542,0.261802575,0.201501877,41.66666667,42.3,0.106458481,0.121362905,92,90.7,W
0.460580913,0.481806775,0.195020747,0.220828105,41,41.9,0.071399429,0.101945267,89.66666667,94.4,0.477876106,0.516503667,0.194690265,0.207823961,43.66666667,43.5,0.121196493,0.106935308,86.66666667,101.5,L
