EFG_PCT_HOME,FT_PER_FGA_HOME,OREB_PCT_HOME,DREB_PCT_HOME,TOV_PCT_HOME,EFG_PCT_AWAY,FT_PER_FGA_AWAY,OREB_PCT_AWAY,DREB_PCT_AWAY,TOV_PCT_AWAY,WL_HOME
0.470149254,0.417910448,0.27027027,0.714285714,0.230882896,0.391891892,0.418918919,0.285714286,0.72972973,0.185774947,W
0.477941176,0.176470588,0.216216216,0.770833333,0.208168121,0.375,0.130952381,0.229166667,0.783783784,0.133843212,W
0.447368421,0.276315789,0.162162162,0.674418605,0.179245283,0.506410256,0.243589744,0.325581395,0.837837838,0.171047893,L
0.442857143,0.114285714,0.355932203,0.625,0.057527942,0.542682927,0.341463415,0.375,0.644067797,0.146906326,L
0.440860215,0.279569892,0.34,0.783783784,0.084146752,0.524390244,0.207317073,0.216216216,0.66,0.095057034,W
0.512820513,0.307692308,0.342857143,0.6,0.108566917,0.486486486,0.364864865,0.4,0.657142857,0.142477204,W
0.5,0.215189873,0.3,0.8125,0.165990409,0.545454545,0.311688312,0.1875,0.7,0.134926754,L
0.535714286,0.328571429,0.275862069,0.804878049,0.202390131,0.46875,0.2125,0.195121951,0.724137931,0.13618677,W
0.391566265,0.168674699,0.25,0.739130435,0.089677162,0.385057471,0.091954023,0.260869565,0.75,0.115562404,W
0.484042553,0.20212766,0.387755102,0.604651163,0.131752306,0.488764045,0.134831461,0.395348837,0.612244898,0.205052493,W
0.398734177,0.430379747,0.304347826,0.733333333,0.130798744,0.425,0.2375,0.266666667,0.695652174,0.195451315,W
0.436619718,0.309859155,0.315789474,0.815789474,0.205640423,0.447761194,0.208955224,0.184210526,0.684210526,0.19766958,W
0.530120482,0.108433735,0.25,0.673469388,0.170068027,0.386904762,0.273809524,0.326530612,0.75,0.141342756,W
0.359756098,0.292682927,0.3125,0.620689655,0.140548138,0.319277108,0.421686747,0.379310345,0.6875,0.078342618,L
0.506493506,0.142857143,0.162790698,0.771428571,0.136439966,0.567073171,0.12195122,0.228571429,0.837209302,0.145405196,L
0.530120482,0.144578313,0.25,0.731707317,0.15026296,0.391025641,0.256410256,0.268292683,0.75,0.19741565,W
0.513157895,0.355263158,0.25,0.74137931,0.158759806,0.357142857,0.10989011,0.25862069,0.75,0.155709343,W
0.530864198,0.271604938,0.341463415,0.653061224,0.122780506,0.456521739,0.141304348,0.346938776,0.658536585,0.083302481,W
0.455128205,0.256410256,0.297297297,0.710526316,0.119331742,0.506578947,0.052631579,0.289473684,0.702702703,0.182112505,W
0.472826087,0.239130435,0.369565217,0.632653061,0.086805556,0.5,0.150537634,0.367346939,0.630434783,0.112378976,W
0.375,0.130952381,0.211538462,0.675675676,0.156710914,0.506493506,0.298701299,0.324324324,0.788461538,0.189599133,L
0.493333333,0.306666667,0.424242424,0.709677419,0.172347759,0.611111111,0.152777778,0.290322581,0.575757576,0.189545092,L
0.5,0.373333333,0.264705882,0.583333333,0.175795707,0.43258427,0.191011236,0.416666667,0.735294118,0.183639399,W
0.432098765,0.209876543,0.304347826,0.763157895,0.124855935,0.492957746,0.154929577,0.236842105,0.695652174,0.217994451,W
0.541666667,0.114583333,0.177777778,0.8,0.126135217,0.424050633,0.215189873,0.2,0.822222222,0.256198347,W
0.432926829,0.231707317,0.288888889,0.733333333,0.167018284,0.438356164,0.438356164,0.266666667,0.711111111,0.161174785,L
0.314814815,0.444444444,0.357142857,0.675675676,0.139616056,0.426666667,0.386666667,0.324324324,0.642857143,0.171604046,L
0.464788732,0.281690141,0.214285714,0.90625,0.220022002,0.532894737,0.276315789,0.09375,0.785714286,0.162090008,L
0.466666667,0.111111111,0.224489796,0.702702703,0.117668356,0.535714286,0.214285714,0.297297297,0.775510204,0.128960943,L
0.492647059,0.264705882,0.285714286,0.78125,0.210928084,0.492537313,0.179104478,0.21875,0.714285714,0.214684414,W
0.544871795,0.282051282,0.257142857,0.627906977,0.10951812,0.466666667,0.28,0.372093023,0.742857143,0.19545793,W
0.433333333,0.4,0.468085106,0.692307692,0.168918919,0.416666667,0.104166667,0.307692308,0.531914894,0.105522336,W
0.41954023,0.103448276,0.240740741,0.594594595,0.085877863,0.411764706,0.411764706,0.405405405,0.759259259,0.194588584,L
0.431818182,0.136363636,0.333333333,0.739130435,0.148809524,0.419753086,0.135802469,0.260869565,0.666666667,0.192589875,W
0.443037975,0.303797468,0.368421053,0.657894737,0.132928219,0.5,0.275,0.342105263,0.631578947,0.099009901,L
0.406976744,0.104651163,0.264150943,0.7,0.116189001,0.391566265,0.144578313,0.3,0.735849057,0.149644594,W
0.465277778,0.180555556,0.243243243,0.787878788,0.148367953,0.515384615,0.307692308,0.212121212,0.756756757,0.164041995,L
0.583333333,0.202380952,0.378378378,0.760869565,0.138019875,0.45505618,0.078651685,0.239130435,0.621621622,0.113378685,W
0.474025974,0.363636364,0.146341463,0.772727273,0.122318404,0.530120482,0.180722892,0.227272727,0.853658537,0.148423006,L
0.450549451,0.274725275,0.391304348,0.787234043,0.183430144,0.482142857,0.392857143,0.212765957,0.608695652,0.132582035,L
0.650684932,0.273972603,0.346153846,0.807692308,0.2,0.571428571,0.371428571,0.192307692,0.653846154,0.171163915,W
0.415384615,0.307692308,0.135135135,0.761904762,0.221506242,0.409090909,0.298701299,0.238095238,0.864864865,0.134357006,L
0.481012658,0.227848101,0.291666667,0.759259259,0.156942393,0.389534884,0.197674419,0.240740741,0.708333333,0.149122807,W
0.622222222,0.155555556,0.382352941,0.806451613,0.152387403,0.53968254,0.365079365,0.193548387,0.617647059,0.284508076,W
0.484848485,0.409090909,0.111111111,0.811320755,0.171232877,0.389534884,0.127906977,0.188679245,0.888888889,0.104841784,W
0.365384615,0.358974359,0.282608696,0.787234043,0.160313502,0.413580247,0.197530864,0.212765957,0.717391304,0.146950771,W
0.446666667,0.186666667,0.2,0.6875,0.107619458,0.355263158,0.171052632,0.3125,0.8,0.141072148,W
0.406666667,0.186666667,0.166666667,0.763157895,0.162469537,0.560810811,0.202702703,0.236842105,0.833333333,0.143973673,L
0.654929577,0.253521127,0.130434783,0.87804878,0.152563059,0.487179487,0.153846154,0.12195122,0.869565217,0.142624287,W
0.43125,0.1875,0.30952381,0.871794872,0.196991404,0.417808219,0.287671233,0.128205128,0.69047619,0.181366934,W
0.493333333,0.24,0.289473684,0.5,0.158227848,0.5,0.211764706,0.5,0.710526316,0.161001789,L
0.438356164,0.301369863,0.256410256,0.720930233,0.188323917,0.407692308,0.307692308,0.279069767,0.743589744,0.243285325,W
0.460227273,0.159090909,0.166666667,0.68627451,0.108972031,0.343023256,0.23255814,0.31372549,0.833333333,0.148549458,W
0.5,0.235294118,0.4,0.714285714,0.148135239,0.452054795,0.452054795,0.285714286,0.6,0.141456054,W
